Time;Country Name;Country Code;cod_pais_ano;School enrollment, primary (% gross) ;Poverty headcount ratio at national poverty lines (% of population) ;Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population) ;Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) ;Life expectancy at birth, total (years) ;deuda_hogares;diez_porc_mas_rico;uno_porc_mas_rico;Mobile cellular subscriptions (per 100 people) ;Secure Internet servers (per 1 million people) ;IDH
1970;Brazil;BRA;1970BRA;;;;;58.911;;;;;;0.269
1970;Bolivia;BOL;1970BOL;88.93090057;;;;45.568;;;;;;0.214
1970;Chile;CHL;1970CHL;117.481102;;;;62.254;;;;;;0.378
1970;Costa Rica;CRI;1970CRI;105.3476181;;;;65.844;;;;;;0.38
1970;Ecuador;ECU;1970ECU;;;;;58.203;;;;;;0.286
1970;Colombia;COL;1970COL;102.302742;;;;62.152;;;;;;0.306
1970;Mexico;MEX;1970MEX;;;;;61.362;;;;;;0.32
1970;Peru;PER;1970PER;103.3028107;;;;54.174;;;;;;0.29
1970;Paraguay;PRY;1970PRY;98.6111908;;;;65.368;;;;;;0.312
1970;Argentina;ARG;1970ARG;105.821312;;;;66.483;;;;;;0.422
1970;Venezuela;VEN;1970VEN;;;;;64.935;;;;;;0.363
1970;Uruguay;URY;1970URY;112.0950699;;;;68.616;;;;;;0.437
1970;Antigua and Barbuda;ATG;1970ATG;;;;;65.847;;;;;;
1970;Aruba;ABW;1970ABW;;;;;69.14;;;;;;
1970;Bahamas;BHS;1970BHS;;;;;65.87;;;;;;0.434
1970;Barbados;BRB;1970BRB;;;;;68.65;;;;;;0.469
1970;Belize;BLZ;1970BLZ;;;;;65.566;;;;;;0.301
1970;British Virgin Islands;VGB;1970VGB;;;;;;;;;;;
1970;Cayman Islands;CYM;1970CYM;;;;;;;;;;;
1970;Cuba;CUB;1970CUB;;;;;69.809;;;;;;0.39
1970;Curacao;CUW;1970CUW;;;;;;;;;;;
1970;Dominica;DMA;1970DMA;;;;;;;;;;;
1970;Dominican Republic;DOM;1970DOM;;;;;58.093;;;;;;0.266
1970;El Salvador;SLV;1970SLV;83.05052185;;;;54.998;;;;;;0.255
1970;Grenada;GRD;1970GRD;;;;;65.619;;;;;;
1970;Guatemala;GTM;1970GTM;54.62659836;;;;52.501;;;;;;0.205
1970;Guyana;GUY;1970GUY;;;;;61.789;;;;;;0.332
1970;Haiti;HTI;1970HTI;;;;;46.027;;;;;;0.139
1970;Honduras;HND;1970HND;82.99556732;;;;52.522;;;;;;0.217
1970;Jamaica;JAM;1970JAM;;;;;67.917;;;;;;0.384
1970;Nicaragua;NIC;1970NIC;66.69885254;;;;53.519;;;;;;0.232
1970;Panama;PAN;1970PAN;99.48287964;;;;65.532;;;;;;0.348
1970;Puerto Rico;PRI;1970PRI;;;;;71.53553659;;;;;;0.479
1970;Suriname;SUR;1970SUR;;;;;62.911;;;;;;
1970;Trinidad and Tobago;TTO;1970TTO;;;;;64.7;;;;;;0.42
1971;Brazil;BRA;1971BRA;;;;;59.332;;;;;;
1971;Bolivia;BOL;1971BOL;88.57391357;;;;45.999;;;;;;
1971;Chile;CHL;1971CHL;124.4307175;;;;62.895;;;;;;
1971;Costa Rica;CRI;1971CRI;104.7934265;;;;66.378;;;;;;
1971;Ecuador;ECU;1971ECU;97.2935791;;;;58.718;;;;;;
1971;Colombia;COL;1971COL;104.7474899;;;;62.629;;;;;;
1971;Mexico;MEX;1971MEX;103.5633392;;;;61.829;;;;;;
1971;Peru;PER;1971PER;103.9668579;;;;54.935;;;;;;
1971;Paraguay;PRY;1971PRY;99.68850708;;;;65.506;;;;;;
1971;Argentina;ARG;1971ARG;106.5062866;;;;66.774;;;;;;
1971;Venezuela;VEN;1971VEN;90.9901886;;;;65.428;;;;;;
1971;Uruguay;URY;1971URY;113.4628525;;;;68.664;;;;;;
1971;Antigua and Barbuda;ATG;1971ATG;71.00991821;;;;66.066;;;;;;
1971;Aruba;ABW;1971ABW;;;;;69.498;;;;;;
1971;Bahamas;BHS;1971BHS;101.7828293;;;;66.031;;;;;;
1971;Barbados;BRB;1971BRB;102.3887024;;;;68.89;;;;;;
1971;Belize;BLZ;1971BLZ;113.3938675;;;;66.047;;;;;;
1971;British Virgin Islands;VGB;1971VGB;125.3488388;;;;;;;;;;
1971;Cayman Islands;CYM;1971CYM;;;;;;;;;;;
1971;Cuba;CUB;1971CUB;118.4250412;;;;70.306;;;;;;
1971;Curacao;CUW;1971CUW;;;;;;;;;;;
1971;Dominica;DMA;1971DMA;129.1745148;;;;;;;;;;
